Baby crib:2668037.077 diaper:2492727.294 diapers:1274764.928 seat:1200937.009 graco:989538.154 infant:940364.798 carseat:894780.635 sippy:837571.894 britax:823530.947 newborn:815476.526 medela:754043.850 babies:742725.227 nipple:679824.860 strollers:658870.778 avent:641923.637 bassinet:604830.905 nipples:582233.430 teething:580442.084 toddler:561060.182 pacifier:554832.953 son:510098.470 pacifiers:473680.794 bottles:468080.685 swaddle:458391.687 teether:445377.497 daughter:424137.167 nursery:403745.021 gate:389999.002 seats:387524.904 recline:366365.543 potty:363392.348 blanket:360597.719 toys:350951.396 chicco:338552.098 month:334557.156 months:322883.453 highchair:311735.785 booster:291829.249 bib:279446.272 chair:279208.201 boppy:257993.220 blankets:252078.668 bjorn:247854.412 wipes:244688.301 evenflo:242209.914 swaddling:238400.971 loves:235775.193 breast:222489.296 playtex:220654.550 soft:216416.344 child:211093.593 diapering:200891.674 nuk:200072.145 bouncer:199043.464 mattress:195426.695 swaddled:187684.621 prefolds:184303.999 wash:183796.644 carrier:183693.901 teethers:173760.113 burp:167989.073 tub:167563.871 breastfeeding:159321.947 tray:159092.342 cute:156985.437 thirsties:155404.395 cribs:155328.629 latch:152967.111 straps:151687.902 reclines:151271.670 milk:150563.437 sleep:149770.948 paci:148522.931 pail:148362.578 feeding:145936.220
Grocery_and_Gourmet_Food tea:2079938.912 tastes:1860035.142 delicious:1745837.449 flavors:1695439.170 chocolate:1667499.803 sugar:1613333.299 tasted:1550914.139 snack:1485335.753 tasty:1351349.142 tasting:1276427.120 sauce:897915.820 drink:876736.515 gluten:811072.686 flavored:797626.506 teas:751496.734 coconut:750767.516 organic:736193.260 milk:699070.095 syrup:692373.614 eat:670906.045 grocery:664695.589 flavorful:654643.664 cup:634406.839 calories:613749.659 decaf:610516.235 keurig:599825.377 coffees:597394.410 cereal:594159.450 salty:578966.289 candy:564853.659 roast:525576.918 cinnamon:504229.775 spicy:488425.712 crackers:483050.991 salt:482517.041 vanilla:477970.203 cookies:463505.067 chewy:455681.845 aftertaste:450126.110 butter:442574.802 sweetener:431060.628 crunchy:424318.797 texture:408792.679 yummy:396654.663 peanut:396202.165 candies:394971.827 beans:381198.816 seasoning:381175.784 sweet:374962.456 bitter:369731.356 sodium:362394.755 caffeine:355287.815 aroma:352347.084 oatmeal:349247.082 cups:341853.591 honey:338211.292 fruit:326368.797 caramel:319921.907 stevia:317181.294 breakfast:316266.114 almonds:311746.486 fresh:304372.420 flavoring:302727.541 rice:299044.200 corn:297792.769 chai:294928.267 popcorn:290513.563 pasta:288153.958 starbucks:280739.216 cheese:277622.663 noodles:273044.396 granola:271146.882 healthy:262482.311 licorice:262333.820 hazelnut:258131.112
Pet_Supplie cats:4743190.600 cat:4415714.877 litter:2317100.776 pet:1865957.207 vet:1747626.385 puppy:1573604.164 collar:1550531.768 treats:1246647.322 leash:1159210.190 chew:972179.628 fleas:842079.325 crate:784563.675 lb:775045.291 food:765874.477 pup:698283.588 terrier:657593.992 lab:646730.001 chewer:646589.118 collars:616675.398 chihuahua:559049.055 yorkie:536465.091 barking:511472.912 chews:499159.980 paws:474879.654 catnip:450704.779 chewing:449660.518 kitty:442480.472 kitties:420896.584 toys:419950.261 kibble:418209.340 cage:414827.336 petsmart:387490.062 squeaker:385735.582 kitten:381016.278 flea:378118.043 fur:372600.132 petco:369611.876 tank:366840.573 aquarium:359831.053 chewed:347568.381 poodle:339573.968 retriever:333956.233 harness:323603.079 shih:318263.762 bark:313811.215 urine:301272.164 loves:299574.064 shepherd:299345.252 chewers:293184.805 kittens:285856.199 pets:281050.580 pound:264641.533 bowl:262147.727 kennel:261143.041 squeakers:244676.444 paw:243530.138 poop:240981.497 frontline:240958.366 gallon:235893.898 beagle:229024.099 eat:228933.546 maltese:227878.041 furminator:223978.682 doggie:223337.328 dachshund:222739.324 fountain:221791.773 pups:221102.508 collie:208338.737 leashes:201993.335 spaniel:197078.414 schnauzer:195193.210 tzu:193313.485 drinkwell:192653.134 treat:191483.513 greenies:188829.494
Automotive honda:899911.568 vehicle:849331.239 jeep:790140.124 oem:755350.090 toyota:715361.980 installed:635977.303 engine:597559.798 headlights:510782.272 wiper:461613.731 dealer:436131.568 dealership:402734.691 tire:360457.287 fit:356716.753 chevy:355185.387 brake:353076.897 installation:340960.638 ford:329956.703 tires:328746.775 headlight:324946.192 wipers:319042.857 rear:301144.017 bmw:301113.974 nissan:297601.321 windshield:296184.001 mats:287416.750 hitch:270382.136 mpg:267675.906 dodge:266537.370 factory:258862.529 vehicles:251357.722 silverado:249108.836 mechanic:248877.121 lights:239966.947 exhaust:237077.933 passenger:235831.493 bolts:222084.564 steering:219610.569 muffler:211049.141 motorcycle:208993.209 bumper:206102.354 cars:199812.435 rotors:199640.057 filter:197935.510 helmet:195730.636 mazda:194960.563 trailer:193638.636 gmc:192929.792 subaru:191696.737 wrangler:188869.786 tailgate:184867.128 camry:183925.863 fuel:181737.058 wheel:167785.924 autozone:164132.764 bolt:163956.270 civic:162303.569 decal:157593.255 tacoma:156763.696 dorman:154908.425 vw:151989.963 weathertech:148025.604 corolla:146642.285 auto:143535.103 radiator:142288.864 stock:138963.375 obd:134948.701 wiring:130809.047 sticker:129467.049 kit:129247.778 towing:127217.119 delco:124563.498 struts:123728.197 gasket:122620.068 inverter:120563.569 rv:119627.774
Electronic cable:3153965.797 usb:2583472.364 computer:2488811.786 ipad:1763835.927 screen:1661836.325 speakers:1622181.653 works:1589443.109 keyboard:1583655.248 battery:1574165.578 gb:1562432.168 sound:1552059.064 headphones:1524918.156 hdmi:1472547.050 tv:1467428.652 sony:1429532.118 ipod:1418349.656 device:1407682.353 wireless:1368508.165 adapter:1367842.500 tablet:1335554.893 drive:1225462.140 plug:1209487.645 card:1153483.602 cables:1146223.182 pc:1120209.253 software:1105848.460 lens:1087890.981 windows:1057368.303 hd:1051357.651 router:1020289.471 unit:990886.470 remote:984060.990 price:968918.284 mouse:901128.964 port:875122.713 plugged:861214.435 signal:849829.680 macbook:811950.492 cord:810883.994 player:801228.345 quality:796512.245 canon:783006.836 setup:781483.234 speaker:779042.130 cameras:753284.594 sd:723736.610 video:704551.240 audio:700140.287 mp:682788.864 receiver:677333.653 external:675890.814 apple:665091.118 nikon:661901.541 devices:656171.906 charger:651513.066 lcd:648259.153 antenna:628701.595 desktop:624394.934 logitech:613053.959 charge:611496.460 dell:610014.181 ports:592138.017 flash:590143.526 connect:588629.412 worked:581563.587 monitor:565016.725 zoom:562701.264 power:553611.333 samsung:552739.898 gps:551170.814 mac:551102.866 bluetooth:550641.330 system:546139.901 asus:545554.956 files:539043.820
Patio_Lawn_and_Garde plants:1265893.167 lawn:1049278.189 feeder:948844.668 yard:938112.237 hose:840521.015 pool:789459.429 seeds:775408.047 garden:693837.509 patio:606918.102 plant:597700.356 weber:586624.200 grass:584601.289 soil:549076.878 squirrels:524432.537 blower:524106.533 gas:514825.751 feeders:459199.035 planted:442342.804 trimmer:437818.683 weeds:427851.974 traps:413674.061 seed:394094.247 sprinkler:386313.511 smoker:374532.946 trap:359946.191 watering:346513.084 birds:298556.209 weed:270313.996 grills:255234.036 mow:253558.260 grilling:251498.314 mulch:251233.686 germinated:250678.596 germination:242997.040 propane:235020.300 shovel:233295.250 edger:231335.788 seedlings:227248.071 mowers:225288.578 hoses:221556.784 deck:221359.265 mulching:221126.351 mowing:218557.516 bbq:215643.804 planter:215081.919 charcoal:212986.727 sprouted:208564.510 fiskars:206071.708 toro:203916.608 intex:202851.174 hummingbirds:202496.156 fertilizer:199870.291 poulan:195877.120 germinate:178233.307 water:174293.564 acre:173715.914 husqvarna:168797.039 generator:168373.354 trees:163917.871 bait:163475.117 planting:163284.008 zapper:162548.233 branches:162232.965 tiller:161328.552 driveway:159688.525 potting:158960.691 sprayer:157935.855 ants:154795.131 mice:150946.469 hummingbird:148037.409 hammock:145457.383 roaches:143973.484 nozzle:142292.128 sprinklers:137662.100 grates:135622.228
Apps_for_Android games:2537164.808 play:2247281.259 graphics:1713184.195 kindle:1623387.140 addicting:1242808.218 addictive:1035962.273 challenging:992785.691 coins:955168.295 fire:873554.432 playing:858956.804 puzzles:685409.083 apps:581584.502 levels:524753.360 free:501119.978 download:468860.625 downloaded:401940.532 ads:391347.261 bingo:326824.666 gameplay:292284.850 flappy:278092.648 uninstalled:268066.550 facebook:244849.132 mahjong:224833.172 solitaire:209062.326 puzzle:202477.237 played:195721.627 faotd:192946.726 waster:191508.841 deleted:177833.778 bought:177045.486 android:167277.759 minecraft:151791.326 permissions:150568.484 quality:149205.671 earn:147660.539 glitches:146235.232 price:143871.654 delete:140484.915 author:135100.457 made:132572.277 challenge:132533.304 reading:132385.005 addicted:132007.035 years:129976.887 fit:125056.897 freezes:124941.459 uninstall:115695.153 unlock:115540.753 characters:111290.543 series:110417.615 downloading:109563.313 written:106708.660 multiplayer:103978.085 hints:94676.011 size:91925.698 brain:89883.453 crashes:88836.263 logos:88763.051 bored:88526.518 appstore:87701.516 awesome:87076.998 sims:86973.248 end:86574.800 developer:86231.659 put:86090.592 small:85841.628 back:85703.294 perfect:83939.266 feel:83235.518 light:82029.357 apos:78491.832 temple:73736.754 tetris:73628.038 ordered:73215.272 gameloft:71919.300
Digital_Music music:1513706.185 lyrics:1118133.184 listen:900184.656 albums:524262.145 heard:518502.210 voice:476146.995 listening:400782.132 tracks:398715.731 vocals:381534.126 track:376976.070 catchy:369774.060 rock:309086.877 band:302570.053 rap:286184.283 sing:280680.004 singer:242520.540 artist:234250.782 singing:223051.279 tune:221643.244 hear:194642.972 dance:190052.694 sounds:186067.607 listened:173789.931 melody:169724.960 sound:167152.217 eminem:161838.449 upbeat:159343.115 hop:155337.271 pop:143301.160 sings:140944.984 beats:136315.069 radio:130897.276 vocal:122361.074 classic:120945.967 record:120771.403 musical:118251.753 artists:117733.980 mp:117164.794 soulful:115222.112 beat:108488.445 rapper:108176.263 tunes:107775.402 hip:106847.272 playlist:105555.054 download:105012.455 chorus:102704.241 jazz:100950.305 rappers:100839.944 favorite:93203.235 hits:90106.743 melodies:89884.234 soul:88350.278 piano:88253.054 remix:87004.579 ballad:86416.664 funk:85135.906 blues:84811.900 bands:84586.912 sung:82306.512 talent:81787.485 solo:81709.452 recording:80506.041 instrumental:80141.640 debut:79408.905 ep:77021.913 love:73910.065 fan:73784.571 songwriter:71991.213 mellow:70586.436 rendition:70125.858 singles:69914.722 version:69028.710 quot:68749.020 hearing:66639.438 lyrically:66498.628
Office_Product cartridges:4912804.747 cartridge:3793837.987 printing:2311433.324 printers:1786512.512 epson:1708854.573 toner:1668745.722 scanner:1656000.644 hp:1519779.233 print:1471243.971 pens:1333756.266 paper:1221197.253 prints:1014280.124 pen:823925.741 scanning:818262.028 fax:810076.662 scan:732297.683 handset:630479.773 shredder:601738.601 inkjet:598474.185 inks:552579.252 handsets:539032.211 pencils:536327.492 lexmark:482253.818 scans:473835.804 desk:459514.700 office:449721.755 pencil:440583.810 copier:438500.577 printed:420189.722 envelopes:418328.326 laser:347540.516 canon:338896.137 labels:323638.283 pixma:314456.601 caller:307931.699 remanufactured:293788.210 stapler:289409.104 calculator:277437.236 duplex:273477.892 documents:268091.525 staples:257936.913 refills:246494.301 laminator:234964.140 binder:233750.253 scanned:218888.522 mfc:216067.503 ooma:214504.107 papers:208455.709 refill:190449.111 eraser:185398.229 cyan:181182.959 nib:177208.031 toners:175505.079 scanners:173955.005 uniden:171035.245 faxing:168443.146 wireless:163994.380 calendar:155627.099 faxes:155366.634 laminating:155224.099 laserjet:155055.154 photosmart:154468.350 cordless:154245.482 officejet:153990.477 document:151188.163 answering:149084.805 erase:147378.032 software:144683.424 phones:140369.688 printhead:135493.652 sharpener:135361.825 dect:135075.624 planner:133435.911 refilled:133271.649 sheets:132834.093
Clothing_Shoes_and_Jewelry comfortable:4462020.215 shoe:4216248.546 size:3537209.251 fit:2789352.372 pair:2440790.526 boots:2267235.224 wearing:1860353.404 shirt:1829276.991 dress:1654902.021 jeans:1198779.779 feet:1176915.702 earrings:1172831.839 worn:1169117.742 heel:1065418.948 wore:1035608.072 socks:980455.544 bra:906345.339 sandals:896017.715 necklace:869382.158 compliments:864171.095 costume:848998.833 comfy:830007.969 pants:796272.141 bracelet:778771.279 sizing:769224.770 color:757935.199 leather:755725.964 cute:747348.392 toe:697573.049 fabric:684782.171 ordered:662062.732 foot:643563.967 wears:590764.986 jewelry:566959.259 fits:558109.240 watches:546867.610 sole:541487.041 watch:535545.114 boot:531439.284 pairs:518508.783 waist:496188.498 shirts:496116.704 slippers:493107.497 ring:482799.435 warm:464185.970 sandal:445869.158 soles:427434.583 stylish:421055.958 pendant:403729.531 arch:364098.600 narrow:354781.905 tight:351317.309 outfit:351054.770 leggings:351050.251 material:345992.470 sizes:345612.944 colors:345207.767 nice:344855.897 reading:344200.237 jacket:339684.318 characters:339131.079 ankle:332483.652 wrist:328197.215 quality:326135.723 hat:321017.771 sneakers:314653.137 author:313848.857 wallet:309632.244 walking:309367.950 flattering:302731.477 bras:301758.178 dressy:298714.367 soft:296012.804 casual:289425.161 medium:288367.429
Musical_Instrument instrument:1008019.976 mic:864909.291 pedal:842086.671 tuner:731024.282 fender:709738.949 ukulele:635938.749 tuners:604537.318 sound:603775.770 mics:577249.237 uke:530621.934 pickups:508004.455 tuning:490937.595 behringer:483079.852 guitars:482990.798 capo:465710.321 xlr:428072.805 strat:422769.004 midi:406633.332 frets:401462.050 epiphone:363111.196 headstock:361199.428 violin:350243.670 acoustic:343138.816 addario:322380.054 microphone:313318.781 fret:304873.045 korg:298819.352 string:293866.289 yamaha:283656.210 pedals:277680.766 amp:276932.705 ibanez:276747.765 reeds:262975.484 tune:260692.561 metronome:241918.031 tone:235566.436 drum:228699.315 gig:224767.191 bass:216932.512 sounds:214116.695 hohner:203714.218 cymbal:203010.633 microphones:201874.757 rosin:197199.715 preamp:186525.311 playing:172367.467 condenser:170792.524 fretboard:164962.492 recording:162074.231 peavey:156851.059 instruments:156199.353 mixer:150452.249 dunlop:149960.221 intonation:148281.929 gigging:146608.372 capos:141685.390 cymbals:141491.319 alesis:139084.019 reverb:135498.488 karaoke:132932.551 humbucker:132246.585 play:131894.489 tascam:130130.662 pickguard:129628.584 snare:126304.211 mouthpiece:123187.467 piano:123084.842 gigs:120952.265 pickup:120168.813 ukes:120061.321 takamine:119685.786 ableton:119635.348 daw:119295.635 mxr:119165.561 truss:118723.693
